"Metrics","Sig","Formula"
"Acroloxidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Aeshnidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Ameletidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Ancylidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Anthomyiidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Apataniidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Aphelocheiridae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Asellidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Astacidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Athericidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Baetidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Beraeidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Bithyniidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Blephariceridae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Brachycentridae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Caenidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Calamoceratidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Calopterygidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Cambaridae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Ceratopogonidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Chironomidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Chloroperlidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Coenagrionidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Corbiculidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Cordulegastridae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Corixidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Crambidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Culicidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Curculionidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Dendrocoelidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Dixidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Dolichopodidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Dreissenidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Dryopidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Dugesiidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Dytiscidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Ecnomidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Elmidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Empididae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Enchytraeidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Ephemerellidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Ephemeridae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Ephydridae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Erpobdellidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Gammaridae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Gerridae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Glossiphoniidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Glossosomatidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Goeridae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Gomphidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Gyrinidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Haemopidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Haliplidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Haplotaxidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Helophoridae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Heptageniidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Hirudinidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Hydrachnidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Hydraenidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Hydridae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Hydrobiidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Hydrochidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Hydrometridae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Hydrophilidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Hydropsychidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Hydroptilidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Ichneumonidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Lepidostomatidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Leptoceridae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Leptophlebiidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Lestidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Leuctridae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Libellulidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Limnephilidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Limoniidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Lumbricidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Lumbriculidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Lymnaeidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Melanopsidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Mesoveliidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Muscidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Naididae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Nemouridae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Nepidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Neritidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Odontoceridae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Oligoneuriidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Pediciidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Perlidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Perlodidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Philopotamidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Phryganeidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Physidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Piscicolidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Planariidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Planorbidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Platycnemididae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Polycentropodidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Potamanthidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Prosopistomatidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Psephenidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Psychodidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Psychomyiidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Ptilocolepidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Pyralidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Rhagionidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Rhyacophilidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Sciomyzidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Scirtidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Sericostomatidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Sialidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Simuliidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Siphlonuridae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Sphaeriidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Stratiomyidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Tabanidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Taeniopterygidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Thaumaleidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Tipulidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Tubificidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Valvatidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Veliidae","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Viviparidae","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"RICHNESS","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"EPT","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"EPT_prop","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"EPT_abu","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"OCH","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"OCH_prop","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"OCH_abu","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"EPT_EPTOCH","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"ABUNDANCE","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"SHANNON","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"ASPT","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"LIFE","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"FUN_RICHNESS_ALL","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"FUN_DIVERSITY_ALL","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"FUN_RICHNESS_ECO","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"FUN_DIVERSITY_ECO","1","VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"FUN_RICHNESS_BIO","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"FUN_DIVERSITY_BIO","1","VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
